Id,LotArea,OverallQual,OverallCond,TotRmsAbvGrd,GarageArea,MSSubClass,SalePrice
244,10762,6,6,6,288,160,120000
245,8880,7,5,8,463,60,205000
246,10400,7,5,6,604,20,241500
247,9142,6,8,9,440,190,137000
248,11310,6,5,5,451,20,140000
249,11317,7,5,8,500,60,180000
250,159000,6,7,7,389,50,277000
251,5350,3,2,6,0,30,76500
252,4750,8,5,5,538,120,235000
253,8366,6,5,6,520,60,173000
254,9350,6,7,7,309,80,158000
255,8400,5,6,5,294,20,145000
256,8738,7,5,8,429,60,230000
257,8791,6,5,7,673,60,207500
258,8814,7,5,8,660,20,220000
259,12435,7,5,7,564,60,231500
260,12702,5,5,4,308,20,97000
261,19296,6,5,6,884,80,176000
262,9588,8,5,10,868,60,276000
263,8471,6,7,6,492,80,151000
264,5500,5,7,6,484,50,130000
265,5232,5,5,4,504,30,73000
266,12090,6,6,7,576,20,175500
267,11207,6,5,8,413,60,185000
268,8400,5,8,8,240,75,179500
269,6900,5,6,4,924,30,120500
270,7917,6,7,6,504,20,148000
271,10728,8,5,8,1053,60,266000
272,39104,7,7,5,439,20,241500
273,11764,8,7,9,671,60,290000
274,9600,6,6,6,338,20,139000
275,8314,5,7,5,264,20,124500
276,7264,7,7,5,672,50,205000
277,9196,7,5,7,573,20,201000
278,19138,4,5,4,400,20,141000
279,14450,9,5,8,732,20,415298
280,10005,7,5,8,505,60,192000
281,11287,7,6,7,575,60,228500
282,7200,6,5,5,572,20,185000
283,5063,7,5,6,626,120,207500
284,9612,8,5,6,898,20,244600
285,8012,6,5,5,529,120,179200
286,4251,7,5,5,528,160,164700
287,9786,6,7,7,440,50,159000
288,8125,4,4,5,0,20,88000
289,9819,5,5,5,280,20,122000
290,8730,6,7,7,384,70,153575
291,15611,8,5,8,685,60,233230
292,5687,5,6,9,0,190,135900
293,11409,5,4,8,281,50,131000
294,16659,7,7,9,539,60,235000
295,9600,6,5,7,418,20,167000
296,7937,6,6,6,588,80,142500
297,13710,5,5,6,282,50,152000
298,7399,7,5,7,576,60,239000
299,11700,6,6,7,539,60,175000
300,14000,6,8,6,300,20,158500
301,15750,5,5,5,375,190,157000
302,16226,8,5,9,683,60,267000
303,13704,7,5,6,843,20,205000
304,9800,5,7,5,552,20,149900
305,18386,7,9,10,870,75,295000
306,10386,8,5,8,888,20,305900
307,13474,7,5,8,746,60,225000
308,7920,6,7,6,0,50,89500
309,12342,4,5,4,539,30,82500
310,12378,9,5,8,708,20,360000
311,7685,6,5,6,420,60,165600
312,8000,6,6,5,240,20,132000
313,7800,5,7,5,410,190,119900
314,215245,7,5,8,513,20,375000
315,9600,7,7,6,546,70,178000
316,7795,7,5,6,432,60,188500
317,13005,7,7,10,484,60,260000
318,9000,8,5,8,1025,60,270000
319,9900,7,5,9,656,60,260000
320,14115,7,5,6,588,80,187500
321,16259,9,5,9,840,60,342643
322,12099,8,5,10,872,60,354000
323,10380,7,5,8,576,60,301000
324,5820,3,8,6,220,20,126175
325,11275,7,7,11,564,80,242000
326,5000,5,6,5,360,45,87000
327,10846,8,5,6,473,120,324000
328,11600,6,5,7,292,20,145250
329,11888,6,6,10,441,75,214500
330,6402,5,5,6,189,70,78000
331,10624,5,4,10,352,90,119000
332,8176,5,6,6,308,20,139000
333,10655,8,5,7,880,20,284000
334,8198,7,5,6,484,120,207000
335,9042,6,5,7,472,60,192000
336,164660,5,6,7,529,190,228950
337,14157,9,5,8,676,20,377426
338,9135,7,5,7,532,20,214000
339,14145,7,7,8,440,20,202500
340,12400,6,7,6,297,20,155000
341,14191,8,5,9,431,60,202900
342,8400,4,4,4,294,20,82000
343,8544,3,4,6,400,90,87500
344,8849,9,5,6,564,120,266000
345,2592,5,3,4,336,160,85000
346,6435,6,5,6,312,50,140200
347,12772,6,8,5,301,20,151500
348,17600,6,5,6,498,20,157500
349,2448,7,5,6,474,160,154000
350,20431,9,5,10,706,60,437154
351,7820,9,5,6,617,120,318061
352,5271,7,5,6,445,120,190000
353,9084,5,6,5,200,50,95000
354,8520,6,8,5,484,30,105900
355,8400,6,5,6,240,50,140000
356,11249,6,5,6,521,20,177500
357,9248,6,6,6,400,20,173000
358,4224,5,5,6,528,120,134000
359,6930,5,4,6,288,80,130000
360,12011,8,5,7,592,60,280000
361,7540,6,6,5,470,85,156000
362,9144,5,5,8,240,50,145000
363,7301,7,5,7,672,85,198500
364,1680,6,8,5,264,160,118000
365,18800,6,5,6,566,60,190000
366,10690,5,7,6,468,70,147000
367,9500,6,5,6,514,20,159000
368,9150,6,5,6,296,80,165000
369,7800,5,6,7,244,20,132000
370,9830,5,7,7,576,20,162000
371,8121,6,5,7,460,60,172400
372,17120,4,4,7,680,50,134432
373,7175,6,5,4,264,120,125000
374,10634,5,6,5,270,20,123000
375,8200,7,5,8,434,60,219500
376,10020,1,1,4,0,30,61000
377,8846,5,5,5,576,85,148000
378,11143,8,5,8,610,60,340000
379,11394,9,2,8,834,20,394432
380,8123,6,5,7,463,60,179000
381,5000,5,6,6,308,50,127000
382,7200,7,5,5,572,20,187750
383,9245,7,5,8,639,60,213500
384,9000,6,3,5,360,45,76000
385,53107,6,5,9,501,60,240000
386,3182,8,5,6,430,120,192000
387,8410,5,3,8,0,50,81000
388,7200,6,6,6,352,80,125000
389,9382,7,5,6,577,20,191000
390,12474,10,5,9,846,60,426000
391,8405,5,8,7,384,50,119000
392,12209,6,5,7,560,60,215000
393,8339,5,7,5,294,20,106500
394,7446,4,5,4,0,30,100000
395,10134,5,6,5,240,50,109000
396,9571,5,6,6,596,20,129000
397,7200,5,5,6,600,20,123000
398,7590,5,5,8,264,60,169500
399,8967,5,2,6,338,30,67000
400,8125,7,5,7,438,60,241000
401,14963,8,5,4,500,120,245500
402,8767,7,5,6,400,20,164990
403,10200,5,8,4,240,30,108000
404,12090,8,5,10,420,60,258000
405,10364,6,5,7,373,60,168000
406,9991,4,4,8,490,20,150000
407,10480,6,5,6,240,50,115000
408,15576,6,7,8,308,70,177000
409,14154,7,5,9,947,60,280000
410,10800,8,5,8,836,60,339750
411,9571,5,3,5,350,20,60000
412,34650,5,5,5,572,190,145000
413,4403,7,5,7,484,20,222000
414,8960,5,6,5,360,30,115000
415,11228,7,5,9,678,60,228000
416,8899,7,5,6,396,20,181134
417,7844,6,7,6,440,60,149500
418,22420,6,6,10,864,70,239000
419,8160,5,6,7,240,50,126000
420,8450,5,6,6,304,20,142000
421,7060,7,5,8,784,90,206300
422,16635,6,7,8,529,20,215000
423,21750,5,5,4,520,20,113000
424,9200,8,5,8,696,60,315000
425,9000,6,5,6,297,20,139000
426,3378,7,8,6,240,60,135000
427,12800,7,5,5,569,80,275000
428,8593,4,6,5,352,20,109008
429,6762,7,5,6,628,20,195400
430,11457,6,5,6,576,20,175000
431,1680,6,5,4,264,160,85400
432,5586,6,7,7,0,50,79900
433,1920,5,5,6,440,160,122500
434,10839,6,5,7,470,60,181000
435,1890,4,7,3,0,180,81000
436,10667,7,6,6,550,60,212000
437,4400,6,8,6,440,50,116000
438,6000,6,7,4,180,45,119000
439,4280,5,6,4,352,30,90350
440,12354,6,8,7,528,50,110000
441,15431,10,5,10,672,20,555000
442,12108,4,4,8,0,90,118000
443,6240,5,7,8,360,50,162900
444,3922,7,5,6,648,120,172500
445,8750,7,5,8,493,60,210000
446,9855,6,5,7,480,20,127500
447,16492,6,6,6,578,20,190000
448,11214,7,5,10,431,60,199900
449,8600,6,6,7,198,50,119500
450,6000,3,7,6,308,50,120000
451,5684,6,8,5,270,30,110000
452,70761,7,5,5,576,20,280000
453,9303,6,5,7,422,60,204000
454,9000,8,5,6,676,60,210000
455,9297,5,5,8,560,90,188000
456,9600,7,6,6,528,20,175500
457,4571,5,5,7,513,70,98000
458,53227,4,6,6,529,20,256000
459,5100,8,7,7,228,70,161000
460,7015,5,4,5,352,50,110000
461,8004,8,5,8,552,60,263435
462,7200,7,9,6,576,70,155000
463,8281,5,5,5,360,20,62383
464,11988,6,7,6,240,70,188700
465,8430,5,5,5,0,20,124000
466,3072,7,5,6,398,120,178740
467,10628,7,5,5,526,20,167000
468,9480,5,7,7,312,70,146500
469,11428,8,5,7,866,20,250000
470,9291,6,5,7,506,60,187000
471,6820,8,5,4,528,120,212000
472,11952,7,6,8,534,60,190000
473,3675,6,5,5,525,180,148000
474,14977,8,5,7,908,20,440000
475,5330,8,5,6,499,120,251000
476,8480,5,6,5,624,20,132500
477,13125,6,5,7,508,20,208900
478,13693,9,5,9,694,60,380000
479,10637,8,5,7,826,20,297000
480,5925,4,7,7,672,30,89471
481,16033,9,5,8,772,20,326000
482,11846,9,5,6,874,20,374000
483,2500,7,8,7,164,70,155000
484,4500,6,5,5,402,120,164000
485,7758,5,7,6,264,20,132500
486,9600,5,7,5,264,20,147000
487,10289,5,7,6,515,20,156000
488,12243,5,6,7,487,20,175000
489,10800,5,4,10,520,190,160000
490,1526,4,8,3,286,180,86000
491,2665,5,6,4,336,160,115000
492,9490,6,7,5,240,50,133000
493,15578,6,5,8,429,60,172785
494,7931,5,6,6,308,20,155000
495,5784,5,8,4,273,30,91300
496,7879,4,5,4,0,30,34900
497,12692,8,5,10,546,20,430000
498,9120,7,6,8,240,50,184000
499,7800,5,7,5,288,20,130000
500,7535,5,7,5,297,20,120000
501,1890,6,5,7,264,160,113000
502,9803,7,5,7,603,60,226700
503,9170,5,7,6,461,20,140000
504,15602,7,8,6,484,20,289000
505,2308,6,5,6,440,160,147000
506,7596,5,5,10,400,90,124500
507,9554,8,5,8,471,60,215000
508,7862,6,5,4,676,20,208300
509,9600,7,9,7,360,70,161000
510,9600,5,6,6,270,20,124500
511,14559,5,7,6,288,20,164900
512,6792,7,5,6,474,120,202665
513,9100,5,5,5,624,20,129900
514,9187,6,5,5,484,20,134000
515,10594,5,5,5,200,45,96500
516,12220,10,5,9,900,20,402861
517,10448,6,6,7,583,80,158000
518,10208,7,5,7,889,60,265000
519,9531,6,5,7,546,60,211000
520,10918,7,9,9,282,70,234000
521,10800,4,7,7,0,190,106250
522,11988,6,6,6,336,20,150000
523,5000,6,7,7,420,50,159000
524,40094,10,5,11,884,60,184750
525,11787,7,5,8,834,60,315750
526,7500,7,5,6,453,20,176000
527,13300,5,7,4,252,20,132000
528,14948,9,5,11,858,60,446261
529,9098,4,7,5,0,30,86000
530,32668,6,3,9,484,20,200624
531,10200,6,5,5,600,80,175000
532,6155,6,8,6,502,70,128000
533,7200,5,7,5,392,20,107500
534,5000,1,3,2,0,20,39300
535,9056,8,5,6,403,60,178000
536,7000,5,7,5,0,190,107500
537,8924,7,5,8,527,60,188000
538,12735,4,5,5,576,20,111250
539,11553,5,5,7,336,20,158000
540,11423,8,5,6,670,20,272000
541,14601,9,5,8,765,20,315000
542,11000,8,5,8,648,60,248000
543,10140,7,5,7,583,20,213250
544,4058,7,5,4,367,120,133000
545,17104,7,5,7,426,60,179665
546,13837,7,5,9,786,50,229000
547,8737,6,7,6,440,50,210000
548,7244,5,7,5,624,85,129500
549,8235,5,7,4,720,20,125000
550,9375,7,5,8,615,60,263000
551,4043,6,6,4,440,120,140000
552,6000,5,6,5,288,20,112500
553,11146,8,5,7,908,20,255500
554,8777,4,5,5,520,20,108000
555,10625,7,5,8,871,60,284000
556,6380,5,6,5,280,45,113000
557,14850,5,5,6,299,20,141000
558,11040,4,6,7,570,50,108000
559,21872,7,5,6,406,60,175000
560,3196,7,5,7,420,120,234000
561,11341,5,6,5,528,20,121500
562,10010,5,5,6,418,20,170000
563,13907,5,6,6,0,30,108000
564,21780,6,7,8,396,50,185000
565,13346,7,5,9,590,60,268000
566,6858,6,4,6,216,70,128000
567,11198,9,5,11,656,60,325000
568,10171,7,5,7,532,20,214000
569,12327,8,8,5,612,50,316600
570,7032,5,5,4,600,90,135960
571,13101,5,5,10,576,90,142600
572,7332,6,6,4,288,20,120000
573,13159,7,5,6,650,60,224500
574,9967,7,5,8,400,80,170000
575,10500,5,7,5,288,80,139000
576,8480,5,5,6,336,50,118500
577,6292,7,7,6,216,50,145000
578,11777,5,6,6,564,80,164500
579,3604,7,5,5,540,160,146000
580,12150,5,5,7,352,50,131500
581,14585,6,6,7,572,20,181900
582,12704,8,5,8,1390,20,253293
583,11841,6,5,5,0,90,118500
584,13500,10,9,9,880,75,325000
585,6120,4,7,6,240,50,133000
586,11443,8,5,7,880,20,369900
587,10267,6,7,5,275,30,130000
588,8740,5,6,4,528,85,137000
589,25095,5,8,5,452,20,143000
590,9100,5,6,4,308,40,79500
591,8320,7,5,6,520,60,185900
592,13478,10,5,10,842,60,451950
593,6600,5,8,4,816,20,138000
594,4435,6,5,4,420,120,140000
595,7990,5,6,5,280,20,110000
596,11302,8,5,7,758,20,319000
597,3600,6,7,7,216,70,114504
598,3922,7,5,7,648,120,194201
599,12984,5,6,7,621,20,217500
600,1950,6,6,6,452,160,151000
601,10927,8,5,8,736,60,275000
602,9000,6,6,6,544,50,141000
603,10041,8,5,8,506,60,220000
604,3182,7,5,4,480,160,151000
605,12803,7,5,6,530,20,221000
606,13600,7,6,7,486,60,205000
607,12464,5,5,6,576,20,152000
608,7800,5,8,8,230,20,225000
609,12168,8,6,10,380,70,359100
610,7943,4,5,5,261,20,118500
611,11050,9,5,8,736,60,313000
612,10395,6,6,6,564,80,148000
613,11885,8,5,7,531,60,261500
614,8402,5,5,6,0,20,147000
615,1491,4,6,3,0,180,75500
616,8800,6,7,6,480,85,137500
617,7861,6,5,7,393,60,183200
618,7227,6,6,4,528,45,105500
619,11694,9,5,9,774,20,314813
620,12244,8,5,10,749,60,305000
621,8248,3,3,5,0,30,67000
622,10800,6,7,9,624,60,240000
623,7064,5,6,6,484,20,135000
624,2117,6,5,4,440,160,168500
625,10400,6,5,8,484,60,165150
626,10000,6,6,5,440,20,160000
627,12342,5,5,6,286,20,139900
628,9600,6,6,7,364,80,153000
629,11606,5,5,9,504,60,135000
630,9020,6,5,6,520,80,168500
631,9000,5,6,8,240,70,124000
632,4590,8,5,6,627,120,209500
633,11900,7,5,6,544,20,82500
634,9250,5,7,6,260,20,139400
635,6979,6,5,4,576,90,144000
636,10896,6,7,14,0,190,200000
637,6120,2,3,4,0,30,60000
638,6000,5,4,7,256,190,93000
639,8777,5,7,4,0,30,85000
640,3982,8,5,7,648,120,264561
641,12677,8,5,6,588,120,274000
642,7050,7,5,7,650,60,226000
643,13860,8,7,9,538,80,345000
644,10793,5,5,7,462,60,152000
645,9187,9,5,7,478,20,370878
646,10530,6,5,5,576,20,143250
647,7200,5,5,7,420,20,98300
648,10452,6,5,5,495,20,155000
649,7700,6,5,7,442,60,155000
650,1936,4,6,3,0,180,84500
651,8125,7,6,7,562,60,205950
652,9084,4,5,7,296,70,108000
653,8750,7,5,7,512,60,191000
654,10320,6,7,7,216,50,135000
655,10437,8,6,7,839,20,350000
656,1680,6,5,6,264,160,88000
657,10007,5,7,5,312,20,145500
658,7200,7,6,6,270,70,149000
659,17503,6,5,6,330,50,97500
660,9937,5,7,7,480,20,167000
661,12384,7,7,7,550,60,197900
662,46589,8,7,8,711,60,402000
663,13560,6,3,5,576,20,110000
664,10012,4,5,6,588,85,137500
665,20896,8,5,8,1134,20,423000
666,11194,8,5,7,504,60,230500
667,18450,6,5,7,596,60,129000
668,8125,6,5,7,575,20,193500
669,14175,5,6,6,576,20,168000
670,11600,4,5,5,252,30,137500
671,8633,6,5,7,540,60,173500
672,6629,6,6,6,300,70,103600
673,11250,6,6,6,546,20,165000
674,14442,6,7,7,416,20,257500
675,9200,6,6,5,384,20,140000
676,2289,6,6,7,440,160,148500
677,9600,4,2,8,779,70,87000
678,9022,5,8,5,240,30,109500
679,11844,8,5,7,834,20,372500
680,9945,5,5,5,572,20,128500
681,8012,6,5,5,264,120,143000
682,4500,5,5,6,281,50,159434
683,2887,6,5,6,431,120,173000
684,11248,9,5,7,702,20,285000
685,16770,7,5,7,486,60,221000
686,5062,7,5,6,577,160,207500
687,10207,7,6,7,578,60,227875
688,5105,7,5,4,480,160,148800
689,8089,8,6,7,567,20,392000
690,7577,6,5,6,460,120,194700
691,4426,6,5,3,420,120,141000
692,21535,10,6,10,832,60,755000
693,26178,7,5,9,628,60,335000
694,5400,5,6,4,326,30,108480
695,6120,5,6,5,576,50,141500
696,13811,6,6,5,551,20,176000
697,6000,5,7,4,205,30,89000
698,6420,5,7,6,308,20,123500
699,8450,5,8,5,336,20,138500
700,4282,7,5,5,530,120,196000
701,14331,8,5,7,765,20,312500
702,9600,7,5,6,528,20,140000
703,12438,8,5,10,666,60,361919
704,7630,5,9,8,672,190,140000
705,8400,7,5,7,606,20,213000
706,5600,4,5,7,0,190,55000
707,115149,7,5,5,739,20,302000
708,6240,8,5,6,550,120,254000
709,9018,7,5,8,400,60,179540
710,7162,5,7,6,408,20,109900
711,4130,3,6,5,0,30,52000
712,8712,4,7,7,384,50,102776
713,4671,8,5,5,472,120,189000
714,9873,4,5,6,576,190,129000
715,13517,6,8,6,475,60,130500
716,10140,6,5,7,478,20,165000
717,10800,7,8,8,704,70,159500
718,10000,5,6,5,439,20,157000
719,10542,7,5,9,983,60,341000
720,9920,5,6,5,300,20,128500
721,6563,8,5,5,564,120,275000
722,4426,6,5,3,420,120,143000
723,8120,4,7,5,463,20,124500
724,8172,4,6,7,548,50,135000
725,13286,9,5,8,768,20,320000
726,6960,4,6,5,660,20,120500
727,21695,6,9,5,540,20,222000
728,7314,7,5,6,632,20,194500
729,11475,5,5,9,888,90,110000
730,6240,4,5,5,539,30,103000
731,5389,8,5,5,608,120,236500
732,9590,7,5,6,438,80,187500
733,11404,7,5,8,541,60,222500
734,10000,5,6,6,264,20,131400
735,8978,5,5,6,300,20,108000
736,10800,7,7,6,320,75,163000
737,8544,3,4,6,400,90,93500
738,10463,8,5,8,800,60,239900
739,10800,5,5,5,0,90,179000
740,9313,7,5,7,572,60,190000
741,9600,5,7,7,360,70,132000
742,6768,6,8,5,288,20,142000
743,8450,7,5,6,539,20,179000
744,12886,5,6,6,480,80,175000
745,5395,8,5,5,462,120,180000
746,8963,8,9,11,831,60,299800
747,8795,7,5,8,554,60,236000
748,11700,7,7,8,864,70,265979
749,10593,7,5,7,527,20,260400
750,8405,4,3,9,240,50,98000
751,8800,4,7,7,0,50,96500
752,7750,7,5,6,400,60,162000
753,9236,6,5,6,576,20,217000
754,10240,8,5,8,878,60,275500
755,7930,6,8,5,440,20,156000
756,3230,6,5,6,440,160,172500
757,10769,8,5,7,578,60,212000
758,11616,6,5,6,440,60,158900
759,2280,7,5,6,440,160,179400
760,12257,8,5,9,752,60,290000
761,9100,6,6,5,300,20,127500
762,6911,5,5,5,440,30,100000
763,8640,7,5,7,614,60,215200
764,9430,8,5,8,856,60,337000
765,9549,8,5,6,481,120,270000
766,14587,9,5,6,592,20,264132
767,10421,7,5,7,496,60,196500
768,12508,6,7,7,423,50,160000
769,9100,7,5,8,484,20,216837
770,53504,8,5,12,841,60,538000
771,7252,5,5,5,576,85,134900
